01	排序	(排序,sort)
	01.01	冒泡排序	(冒泡排序,bubble sort,bubble-sort)
	01.02	插入排序	(插入排序,insertion sort,insertion-sort)
	01.03	选择排序	(选择排序,selection sort,selection-sort)
	01.04	快速排序	(快速排序,快排,quick sort,quick-sort,qsort)
	01.05	计数排序	(计数排序,counting sort,counting-sort)
	01.06	归并排序	(归并排序,合并排序,merge sort,merge-sort)
	01.07	堆排序		(堆排序,堆排,heap sort,heap-sort)
	01.08	希尔排序	(希尔排序,shell sort,shell-sort)
	01.09	基数排序	(基数排序,radix sort,radix-sort)
	01.10	桶排序		(桶排序,桶排,bucket sort,bin sort,bucket-sort,bin-sort)

02	搜索	(搜索,搜索题)
	02.01	简单搜索	(基本搜索,直接搜索,简单搜索,simple search)
	02.02	回溯算法	(回溯算法,回溯法,试探法,回溯,backtracking,backtrack)
	02.03	深度优先搜索	(深度优先搜索,深度优先,深度搜索,深优,深度遍历,dfs,depth first search,depth first,depth-first-search,depth-first)
	02.04	广度优先搜索	(广度优先搜索,广度优先,广度搜索,广优,宽度优先搜索,广搜,广度遍历,bfs,breadth first search,breadth first,breadth-first-search,breadth-first)
	02.05	双向广度优先搜索	(双向广度优先搜索,双向广度搜索,双向搜索,双广,双向bfs,bibfs,dbfs,bidirectional breadth first search,double breadth first search,bidirectional-breadth-first-search,double-breadth-first-search)
	02.06	二分搜索算法	(二分搜索算法,二分,二分搜索,二分查找法,二分法,二分检索算法,二分检索法,折半查找算法,折半查找,折半查找法,折半法,binary search,binary-search,binary_search)
	02.07	三分搜索算法	(三分搜索算法,三分搜索,三分查找法,三分法,ternary search,ternary-search)
	02.08	黄金分割搜索	(黄金分割搜索算法,黄金分割搜索法,黄金分割算法,黄金分割法,黄金分割,golden section search,golden ratio search,golden search,golden-section-search,golden-ratio-search,golden-search)
	02.09	分枝定界	(分枝定界算法,分枝限界法,分枝定界,分支定界算法,分支定界法,分支定界,b&b,branch and bound,branch-and-bound)
	02.10	启发式搜索	(启发式搜索算法,启发式搜索,启发式算法,a算法,a*算法,astart,a*启发式搜索算法,heuristic algorithm,heuristic fuunction,heuristic search,heuristic-algorithm,heuristic-fuunction,heuristic-search,heuristic)
	02.11	迭代加深a*	(迭代加深a*算法,迭代加深算法,迭代加深法,迭代加深,迭代加深a*,ida*,iterative deepening a*,iterative-deepening a*)
	02.12	记忆化搜索	(记忆化搜索算法,记忆化搜索,记忆化算法,memorization,memoization)
	02.13	随机调整	(随机调整,随机化算法,随机化,randomization,randomize)
	02.14	遗传算法	(遗传算法,ga算法,genetic algorithm,genetic-algorithm)

03	基本算法	(基本算法,basic algorithm,基本操作)
	03.01	模拟		(简单模拟,模拟题,simulate,simulation)
	03.02	枚举		(枚举,遍历,暴力,暴力搜索,暴力算法,暴搜,死搜,brute force,brute-force)
	03.03	递归		(递归,递推,迭代,recurse,recursion,recurs)
	03.04	分治		(分治,分治法,分而治之,divide and conquer,divide-and-conquer)
	03.05	贪心		(贪心,贪心法,贪婪,贪婪法,greedy)
	03.06	构造法	(构造法,construction)
	03.07	搜索剪枝	(搜索剪枝,剪枝搜索,剪枝算法,剪枝优化,最优化剪枝,剪枝,pruning,alpha-beta)
	03.08	数学方法	(数学方法,简单数学,数学公式,数学处理,初等数学,math problem,mathematic problem)
	03.09	高精度运算	(高精度运算,精度问题,大数,大整数相加,大数相加,大整数相减,大数相减,大数运算,任意精度运算,高精度处理,高精度计算,大数计算,高精度,bignum,big num,biginteger,big integer)
	03.10	位运算		(位运算,位操作,按位运算,按位与,按位或,按位异或,取反,移位,掩码,bitwise,bitmask)
	03.11	stl		(c++ stl,c++标准模板库,标准模板库)

04	数论	(数论,number theory,number_theory)
	04.01	整除和素数问题	(整除问题,整除,素数问题,素数筛选,素数判定,素数,素因数,质数,质因数,divisible,prime,prime seive,prime-seive)
	04.02	随机素数测试	(随机素数测试,miller,miller rabin,miller-rabin,miller-rabin test)
	04.03	费马小定理	(费马小定理,费马小定律,fermat's little theorem)
	04.04	进位制		(进位制,数制转换,数制转化,进制转换,进制转化,进制,十进制,二进制,十六进制,10进制,2进制,16进制,binary)
	04.05	欧几里得算法	(欧几里得算法,欧几里得,辗转相除法,辗转相除,最大公约数,greatest common divisor,highest common factor,least common multiple,euclid,gcd,hcf,lcm)
	04.06	扩展欧几里得	(扩展欧几里德,拓展欧几里得,extended euclid,ext euclid,extended gcd,ext gcd,extended-euclid,ext-euclid,extended-gcd,ext-gcd)
	04.07	同余运算	(同余运算,同余式的运算,同余计算,同余,congruence)
	04.08	中国剩余定理	(中国剩余定理,中国余数定理,孙子定理,韩信点兵,模线性方程,模线性方程组,线性同余方程modular linear equation,linear diophantine equations,linear modular equations)
	04.09	原根		(原根,本原根,pimitive root,pimitive-root)
	04.10	欧拉函数	(欧拉函数,euler function,phi function,euler's phi function,euler's totient function,totient function,totient)
	04.11	勾股定理	(勾股数,本原勾股数,商高数,毕氏三元数,勾股定理,商高定理,毕达哥拉斯定理,毕达哥拉斯数,pythagorean theorem,pthagoras's theorem,pythagorean number)
	04.12	哥德巴赫猜想	(哥德巴赫猜想,哥德巴赫,goldbach,goldbach's conjecture)
	04.13	快速幂取模	(快速幂取模,快速幂,模取幂,快速幂算法,a的b次方余c,bigmod)

05	图论	(图论,构图,graph theory,acm_图,graph_theory)
	05.01	最短路径	(最短路径问题,最短路问题,最短路径,最短路,单源最短路,多源最短路,shortest path,shortest-path)
		05.01.01	迪杰斯特拉算法	(迪杰斯特拉算法,迪杰斯特拉,dijk,dijkstra)
		05.01.02	贝尔曼福德算法	(贝尔曼福德算法,贝尔曼福德,bellman,bellman ford,bellman-ford)
		05.01.03	佛洛依德算法	(佛洛依德算法,佛洛依德,floyd warshall,floyd-warshall,floyd)
	05.02	最小生成树	(最小生成树问题,最小生成树,次小生成树,生成树,mst,minimum spanning tree,minimum cost spanning tree,minimum-cost spanning tree)
		05.02.01	普利姆算法	(普利姆算法,普利姆,prim算法,prim)
		05.02.02	克鲁斯卡尔算法	(克鲁斯卡尔算法,克鲁斯卡尔,kruskal算法,kruskal)
	05.03	最小树形图	(最小树形图,有向图最小生成树,有向图最小的生成树,minimum arborescence,minimum-cost arborescence,minimum branching,directed minimum spanning tree)
		05.03.01	朱刘算法	(朱刘算法,zhu liu's algorithm,zhu-liu algorithm,zhu-liu)
	05.04	二部图最大匹配	(二部图最大匹配,二分图最大匹配,二部图匹配,二分图匹配,二部匹配,二分匹配,最大匹配,maximum matching)
		05.04.01	匈牙利算法	(匈牙利算法,匈牙利,hungary算法,hungary)
		05.04.02	hopcroft karp算法	(hopcroft karp算法,hopcroft karp,hopcroft-karp)
	05.05	二部图最佳匹配	(二部图最佳匹配,二分图最佳匹配,二部图完备匹配,最佳匹配,完备匹配,带权匹配,带权二分匹配,最大权匹配,最小权匹配,perfect matching,best matching)
		05.05.01	km算法		(km算法,最佳匹配算法)
	05.06	稳定婚姻匹配	(稳定婚姻匹配,稳定婚姻,stable marriage,stable marriage problem,gale shapley)
	05.07	差分约束	(差分约束,差分约束系统,差分约束问题,difference constraints,system of difference constraints)
	05.08	拓扑排序	(拓扑排序,拓扑,topological,topological sorting)
	05.09	传递闭包	(传递闭包,最小传递关系,transitive closure)
	05.10	欧拉回路	(欧拉回路,欧拉路径,欧拉图,欧拉路,欧拉通路,euler tour,euler circuit,eulerian tour,eulerian circuit,eulerian path)
	05.11	连通块		(连通块,连通片,连通区域,连通分量,connected component,connected-component,flood fill,floodfill)
	05.12	强连通分量	(强连通分量,强连通分支,强连通缩点,强连通,scc,strongly connected component,图的连通问题)
	05.13	双连通分量	(双连通分量,双连通分支,biconnected components,bi-connected components)
	05.14	割点与桥	(割点,割顶,关节点,桥,割边,关节边,bridge)
	05.15	第K最短路	(第K最短路,k短路,kth shortest path,k-th shortest path)
	05.16	度限制最小生成树	(度限制最小生成树,最小度限制生成树,最小限度生成树,k度限最小生成树,degree-constrained minimum spanning tree)
	05.17	最优比率生成树	(最优比率生成树,最优比例生成树,optimal proportional minimum spanning tree)

06	字符串处理	(字符串处理,string processing,acm-字符串)
	06.01	简单字符串处理	(简单字符串处理,字符串处理题,字串处理题,字符串处理,字串处理,simple string processing)
	06.02	表达式计算	(表达式计算,表达式求值,表达式处理,表达式前缀,表达式中缀,表达式后缀,expression evaluation)
	06.03	kmp算法		(kmp算法,kmp)
	06.04	有限状态自动机	(有限状态自动机,finite state automaton,finite state machine,deterministic finite automaton,finite-state automaton,finite-state machine)
	06.05	哈夫曼编码	(哈夫曼编码,赫夫曼编码,哈夫曼树,赫夫曼树,huffman,huffman coding,huffman tree)
	06.06	简单密码学	(密码学,替换密码,加密,解密,decode,encode,cryptography)
	06.07	日期处理	(历法,日历,日期处理,时间处理,calendar)

07	动态规划	(动态规划,动规,dynamic programming,dp)
	07.01	线性动态规划	(线性动态规划,线性动规,线性dp,linear dynamic programming,linear dp)
		07.01.01	最长上升子序列	(最长上升子序列,最长下降子序列,最长不上升子序列,最长不下降子序列,longest increasing sequence,longest decreasing sequence)
		07.01.02	最长公共子序列	(最长公共子序列,lcs,longest common sequence)
		07.01.03	棋盘分割问题	(棋盘分割问题,棋盘分割,chessboard division)
		07.01.04	方块消除问题	(方块消除问题,方块消除游戏,方块消除,blocks elimination)
		07.01.05	数字三角形	(数字三角形问题,数字三角形,number triangle)
	07.02	区间动态规划	(区间动态规划,区间动规,区域动态规划,区域动规,区间dp,区域dp,interval dynamic programming,interval dp)
		07.02.01	矩阵连乘问题	(矩阵连乘问题,矩阵连乘,矩阵链乘法,mcm,matrix chain multiplication)
		07.02.02	石子合并问题	(石子合并问题,石子合并,stones combination)
		07.02.03	多边形剖分问题	(多边形剖分问题,多边形剖分,polygon division)
		07.02.04	添括号问题	(添括号问题,添括号,brackets insertion,insertion of brackets)
	07.03	背包动态规划	(背包动态规划,背包动规,01背包,无限背包,背包问题,双背包,判定性背包,01 knapsack,knapsack)
	07.04	树形动态规划	(树形动态规划,树型动态规划,树形动规,树型动规,树形dp,树型dp,tree dp)
	07.05	集合动态规划	(集合动态规划,状态压缩动态规划,状态压缩动规,集合动规,状态动规,集合dp,状态dp,set dp,状态压缩dp,压缩dp)

08	网络流		(网络流,network flow)
	08.01	最大流	(最大流,maximum flow,max flow,max-flow)
		08.01.01	ford fulkerson算法	(ford fulkerson算法,ford fulkerson,ford-fulkerson)
		08.01.02	edmonds karp算法	(edmonds karp算法,最短增广路算法,sap,edmonds karp,edmonds-karp,shortest augmenting path)
		08.01.03	dinic算法		(dinic算法,阻塞流算法,分层网络,dinic,blocking flow)
		08.01.04	预流推进算法		(预流推进算法,预流推进,preflow push算法,push relabel算法,preflow push,push relabel,highest label preflow push,hlpp)
		08.01.05	最大容量路径算法	(最大容量路径算法,maximum capacity path)
	08.02	最小割	(最小割,minimum cut,min cut,min-cut)
		08.02.01	最大流最小割定理	(最大流最小割定理,最大流和最小割的等价性,maxflow mincut theorem,max-flow min-cut theorem)
		08.02.02	无向图最小割算法	(无向图最小割,stoer wagner算法,stoer wagner,stoer-wagner)
	08.03	最小费用最大流	(最小费用最大流,最小费用流,mcmf,min-cost max-flow,minimum cost maximum flow,minimum-cost flow)
	08.04	有上下界网络流	(带上下界的网络流,带上下界网络流,有上下界的网络流,有上下界容量的网络流,带上界的网络流,带下界的网络流,capacity-limited network flow)

09	数据结构	(数据结构,data structure)
	09.01	堆	(堆,heap)
		09.01.01	二叉堆	(二叉堆,binary heap)
		09.01.02	斜堆	(斜堆,自适应堆,skew heap,self adjusting heap,self-adjusting heap)
		09.01.03	二项堆	(二项堆,binomial heap)
		09.01.04	左偏树	(左偏树,可合并堆,leftist tree,mergeable heap)
	09.02	栈	(栈,stack)
